,make,model,trim,type,price,mileage,src,year,image-type
164,VOLKSWAGEN,BEETLE,1.8T S,convertible,17800,37537,cdnblob.carvana.io/2000271193/post-large/normalized/cropped/2000271193-edc-02.jpg?v=2019.3.20_8.25.1,2017,original
165,VOLKSWAGEN,BEETLE,1.8T S,convertible,17500,45105,cdnblob.carvana.io/2000271190/post-large/normalized/cropped/2000271190-edc-02.jpg?v=2019.3.19_3.40.46,2017,original
166,BMW,4 SERIES,440i XDrive,convertible,53400,2557,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12596/12596_cc0640_032_416.png,2018,sample
167,FORD,MUSTANG,EcoBoost,convertible,25000,20923,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12460/12460_cc0640_032_G1.png,2018,sample
168,BMW,4 SERIES,428i XDrive,convertible,35600,23495,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2016/10694/10694_cc0640_032_416.png,2016,sample
169,CHEVROLET,CORVETTE,Grand Sport,convertible,33600,71050,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2013/8570/8570_cc0640_032_17U.png,2013,sample
170,CHEVROLET,CAMARO,LT,convertible,25600,15617,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12126/12126_cc0640_032_GAN.png,2018,sample
171,BMW,4 SERIES,428i XDrive,convertible,31600,51112,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2016/10694/10694_cc0640_032_A89.png,2016,sample
172,MAZDA,MX-5 MIATA,Club,convertible,27200,1932,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12689/12689_cc0640_032_41W.png,2018,sample
173,CHEVROLET,CAMARO,SS,convertible,26200,6376,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2011/7400/7400_cc0640_032_GCR.png,2011,sample
174,FORD,MUSTANG,EcoBoost,convertible,22000,40099,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12460/12460_cc0640_032_YZ.png,2018,sample
175,BMW,4 SERIES,428i,convertible,31700,29132,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2016/10694/10694_cc0640_032_A75.png,2016,sample
176,FORD,MUSTANG,GT Premium,convertible,30400,28783,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12720/12720_cc0640_032_UX.png,2018,sample
177,FORD,MUSTANG,EcoBoost,convertible,23000,34551,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12460/12460_cc0640_032_YZ.png,2018,sample
178,CHEVROLET,CAMARO,LT,convertible,26900,9711,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12126/12126_cc0640_032_GAN.png,2018,sample
179,CHEVROLET,CAMARO,SS,convertible,35700,1749,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2016/11203/11203_cc0640_032_GB8.png,2016,sample
180,FIAT,500 ABARTH,Cabrio,convertible,17700,12729,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2015/9769/9769_cc0640_032_PX8.png,2015,sample
181,CHEVROLET,CORVETTE,Corvette,convertible,32100,20854,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2011/6985/6985_cc0640_032_70U.png,2011,sample
182,AUDI,A3,1.8T Premium,convertible,23700,34802,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2016/10549/10549_cc0640_032_0C0C.png,2016,sample
183,FORD,MUSTANG,EcoBoost,convertible,22600,35629,carvanaevoxprodblob.blob.core.windows.net/evox/color_0640_032_png/MY2018/12460/12460_cc0640_032_YZ.png,2018,sample
184,CHEVROLET,VOLT,Premier,hatchback,24600,12995,cdnblob.carvana.io/2000283801/post-large/normalized/cropped/2000283801-edc-02.jpg?v=2019.4.11_1.2.34,2017,original
185,CHEVROLET,VOLT,Premier,hatchback,24800,11984,cdnblob.carvana.io/2000284307/post-large/normalized/cropped/2000284307-edc-02.jpg?v=2019.4.9_4.51.15,2017,original
186,HYUNDAI,ACCENT,SE,hatchback,11600,41916,cdnblob.carvana.io/2000286486/post-large/normalized/cropped/2000286486-edc-02.jpg?v=2019.4.11_3.24.20,2017,original
187,VOLKSWAGEN,GOLF GTI,SE Hatchback,hatchback,22400,25786,cdnblob.carvana.io/2000282287/post-large/normalized/cropped/2000282287-edc-02.jpg?v=2019.4.8_14.3.1,2017,original
188,FIAT,500L,Lounge,hatchback,17300,5860,cdnblob.carvana.io/2000283621/post-large/normalized/cropped/2000283621-edc-02.jpg?v=2019.4.10_23.55.14,2017,original
189,FORD,FOCUS,SE,hatchback,12300,37564,cdnblob.carvana.io/2000283046/post-large/normalized/cropped/2000283046-edc-02.jpg?v=2019.4.13_19.14.49,2017,original
190,HONDA,CIVIC,Sport Touring,hatchback,25500,18840,cdnblob.carvana.io/2000272479/post-large/normalized/cropped/2000272479-edc-02.jpg?v=2019.4.3_15.1.3,2018,original
191,CHEVROLET,CRUZE,LT,hatchback,15400,21286,cdnblob.carvana.io/2000286018/post-large/normalized/cropped/2000286018-edc-02.jpg?v=2019.4.5_19.47.46,2018,original
192,VOLKSWAGEN,GOLF,TDI,hatchback,15100,14060,cdnblob.carvana.io/2000280295/post-large/normalized/cropped/2000280295-edc-02.jpg?v=2019.4.3_3.39.36,2013,original
193,FIAT,500L,Trekking,hatchback,14600,25797,cdnblob.carvana.io/2000260162/post-large/normalized/cropped/2000260162-edc-02.jpg?v=2019.4.5_18.4.44,2016,original
194,MAZDA,MAZDA3,Touring,hatchback,16500,37342,cdnblob.carvana.io/2000283583/post-large/normalized/cropped/2000283583-edc-02.jpg?v=2019.4.10_20.6.37,2017,original
195,NISSAN,VERSA NOTE,S,hatchback,15000,3570,cdnblob.carvana.io/2000280368/post-large/normalized/cropped/2000280368-edc-02.jpg?v=2019.4.3_13.25.28,2018,original
196,MAZDA,MAZDA3,S Touring,hatchback,18800,29107,cdnblob.carvana.io/2000266965/post-large/normalized/cropped/2000266965-edc-02.jpg?v=2019.4.5_3.27.57,2016,original
197,HONDA,FIT,EX,hatchback,20900,5799,cdnblob.carvana.io/2000272113/post-large/normalized/cropped/2000272113-edc-02.jpg?v=2019.3.30_19.27.14,2018,original
198,NISSAN,LEAF,SV,hatchback,12000,22303,cdnblob.carvana.io/2000277404/post-large/normalized/cropped/2000277404-edc-02.jpg?v=2019.3.29_5.41.58,2014,original
199,HONDA,FIT,EX-L,hatchback,19900,9166,cdnblob.carvana.io/2000281472/post-large/normalized/cropped/2000281472-edc-02.jpg?v=2019.4.4_14.56.13,2017,original
200,NISSAN,LEAF,SL,hatchback,27400,11216,cdnblob.carvana.io/2000274731/post-large/normalized/cropped/2000274731-edc-02.jpg?v=2019.3.30_12.14.38,2018,original
201,HYUNDAI,ELANTRA GT,Elantra GT,hatchback,12600,47609,cdnblob.carvana.io/2000274683/post-large/normalized/cropped/2000274683-edc-02.jpg?v=2019.4.2_4.51.41,2017,original
202,CHEVROLET,VOLT,LT,hatchback,18000,36083,cdnblob.carvana.io/2000274301/post-large/normalized/cropped/2000274301-edc-02.jpg?v=2019.4.4_1.32.38,2017,original
203,CHEVROLET,CRUZE,LT,hatchback,14500,20261,cdnblob.carvana.io/2000274259/post-large/normalized/cropped/2000274259-edc-02.jpg?v=2019.4.5_22.4.48,2017,original
204,HONDA,CIVIC,Sport,hatchback,23100,1692,cdnblob.carvana.io/2000281505/post-large/normalized/cropped/2000281505-edc-02.jpg?v=2019.3.30_16.50.37,2018,original
205,MAZDA,MAZDA3,I Touring,hatchback,16400,34530,cdnblob.carvana.io/2000281573/post-large/normalized/cropped/2000281573-edc-02.jpg?v=2019.4.5_13.1.41,2016,original
206,FORD,FOCUS,SE,hatchback,12000,42853,cdnblob.carvana.io/2000274818/post-large/normalized/cropped/2000274818-edc-02.jpg?v=2019.4.1_18.58.50,2017,original
207,LEXUS,CT,CT 200h,hatchback,17100,55823,cdnblob.carvana.io/2000279451/post-large/normalized/cropped/2000279451-edc-02.jpg?v=2019.4.5_19.50.1,2015,original
208,NISSAN,LEAF,SL,hatchback,26500,14821,cdnblob.carvana.io/2000275090/post-large/normalized/cropped/2000275090-edc-02.jpg?v=2019.3.28_2.36.45,2018,original
209,HONDA,FIT,EX,hatchback,18200,7344,cdnblob.carvana.io/2000253403/post-large/normalized/cropped/2000253403-edc-02.jpg?v=2019.4.1_22.6.1,2016,original
210,HYUNDAI,ACCENT,SE,hatchback,11600,39675,cdnblob.carvana.io/2000275531/post-large/normalized/cropped/2000275531-edc-02.jpg?v=2019.4.2_5.30.45,2017,original
211,FORD,FIESTA,SE,hatchback,11600,37554,cdnblob.carvana.io/2000269127/post-large/normalized/cropped/2000269127-edc-02.jpg?v=2019.4.2_1.13.24,2017,original
212,FORD,FIESTA,SE,hatchback,11100,41293,cdnblob.carvana.io/2000269128/post-large/normalized/cropped/2000269128-edc-02.jpg?v=2019.4.1_12.40.51,2017,original
213,HONDA,CIVIC TYPE R,Touring Hatchback,hatchback,37900,2597,cdnblob.carvana.io/2000271039/post-large/normalized/cropped/2000271039-edc-02.jpg?v=2019.4.2_20.51.11,2018,original
214,HYUNDAI,ACCENT,SE,hatchback,11500,41966,cdnblob.carvana.io/2000270218/post-large/normalized/cropped/2000270218-edc-02.jpg?v=2019.4.12_1.32.56,2017,original
215,FORD,FOCUS,SE,hatchback,14700,17908,cdnblob.carvana.io/2000275953/post-large/normalized/cropped/2000275953-edc-02.jpg?v=2019.4.12_19.58.57,2017,original
216,HYUNDAI,ELANTRA GT,Elantra GT,hatchback,12800,44027,cdnblob.carvana.io/2000248129/post-large/normalized/cropped/2000248129-edc-02.jpg?v=2019.3.28_14.25.39,2017,original
217,VOLKSWAGEN,GOLF,TDI,hatchback,13500,38347,cdnblob.carvana.io/2000276836/post-large/normalized/cropped/2000276836-edc-02.jpg?v=2019.4.2_17.10.39,2013,original
218,TOYOTA,PRIUS C,Two,hatchback,16500,22576,cdnblob.carvana.io/2000270193/post-large/normalized/cropped/2000270193-edc-02.jpg?v=2019.4.5_5.50.17,2015,original
219,VOLKSWAGEN,GOLF,TDI,hatchback,13300,43828,cdnblob.carvana.io/2000276409/post-large/normalized/cropped/2000276409-edc-02.jpg?v=2019.4.9_18.39.57,2013,original
220,HONDA,FIT,EX,hatchback,19500,10194,cdnblob.carvana.io/2000269513/post-large/normalized/cropped/2000269513-edc-02.jpg?v=2019.3.27_23.19.53,2018,original
221,TOYOTA,PRIUS,Two,hatchback,19900,30788,cdnblob.carvana.io/2000272112/post-large/normalized/cropped/2000272112-edc-02.jpg?v=2019.4.8_14.58.12,2016,original
222,NISSAN,VERSA NOTE,SV,hatchback,11700,46415,cdnblob.carvana.io/2000274347/post-large/normalized/cropped/2000274347-edc-02.jpg?v=2019.4.4_13.23.42,2017,original
223,VOLKSWAGEN,E-GOLF,Limited Edition Hatchback,hatchback,13800,34977,cdnblob.carvana.io/2000273506/post-large/normalized/cropped/2000273506-edc-02.jpg?v=2019.3.21_5.48.11,2015,original
224,VOLKSWAGEN,GOLF,TDI,hatchback,11700,62505,cdnblob.carvana.io/2000276608/post-large/normalized/cropped/2000276608-edc-02.jpg?v=2019.4.1_13.20.10,2012,original
225,BMW,5 SERIES,535i Gran Turismo,hatchback,29500,20406,cdnblob.carvana.io/2000275149/post-large/normalized/cropped/2000275149-edc-02.jpg?v=2019.3.23_4.48.48,2016,original
226,HONDA,FIT,EX-L,hatchback,20600,1454,cdnblob.carvana.io/2000275061/post-large/normalized/cropped/2000275061-edc-02.jpg?v=2019.3.25_14.13.48,2017,original
227,NISSAN,VERSA NOTE,SR,hatchback,14000,21401,cdnblob.carvana.io/2000270770/post-large/normalized/cropped/2000270770-edc-02.jpg?v=2019.3.20_15.28.35,2017,original
228,CHEVROLET,VOLT,LT,hatchback,17900,31914,cdnblob.carvana.io/2000277211/post-large/normalized/cropped/2000277211-edc-02.jpg?v=2019.3.22_3.31.28,2017,original
229,HYUNDAI,ELANTRA GT,Elantra GT,hatchback,12900,34071,cdnblob.carvana.io/2000248097/post-large/normalized/cropped/2000248097-edc-02.jpg?v=2019.3.30_12.38.57,2017,original
230,FORD,FIESTA,SE,hatchback,11000,37919,cdnblob.carvana.io/2000269134/post-large/normalized/cropped/2000269134-edc-02.jpg?v=2019.3.21_18.58.16,2017,original
231,FORD,FIESTA,SE,hatchback,11500,38223,cdnblob.carvana.io/2000269136/post-large/normalized/cropped/2000269136-edc-02.jpg?v=2019.3.27_21.57.41,2017,original
